,uniprot,annotation,iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,FP,TP,TPR,FPR,TPR-FPR
0,Q9CXE7,,4.999849844842725,0.0,0.0,0.0,0.0,0.0
1,Q9QY73,,4.707926320865644,0.0,0.0,0.0,0.0,0.0
2,P15306,,4.639892116797527,0.0,0.0,0.0,0.0,0.0
3,Q9D3V1,FP,4.596426435747421,0.0,0.0,0.0,0.0,0.0
4,Q8VCT4,,4.364286723864258,1.0,0.0,0.0,0.0012391573729863693,-0.0012391573729863693
5,Q9QZ25,,4.28074946579861,1.0,0.0,0.0,0.0012391573729863693,-0.0012391573729863693
6,E9Q6C2,,4.246570061505216,1.0,0.0,0.0,0.0012391573729863693,-0.0012391573729863693
7,P02469,TP,4.207650013879507,1.0,0.0,0.0,0.0012391573729863693,-0.0012391573729863693
8,Q9JMG3,FP,4.204457839564949,1.0,1.0,0.0045871559633027525,0.0012391573729863693,0.003347998590316383
9,Q922Q9,TP,4.1270308578334225,2.0,1.0,0.0045871559633027525,0.0024783147459727386,0.002108841217330014
10,Q8BYB9,,4.0093467966656835,2.0,2.0,0.009174311926605505,0.0024783147459727386,0.006695997180632766
11,Q9Z0F8,TP,3.995645938510725,2.0,2.0,0.009174311926605505,0.0024783147459727386,0.006695997180632766
12,Q80UM7,,3.9637635412228382,2.0,3.0,0.013761467889908258,0.0024783147459727386,0.011283153143935519
13,Q8C7K6,TP,3.8937920433630504,2.0,3.0,0.013761467889908258,0.0024783147459727386,0.011283153143935519
14,P15208,,3.877377375616624,2.0,4.0,0.01834862385321101,0.0024783147459727386,0.015870309107238273
15,P50172,,3.84074450773759,2.0,4.0,0.01834862385321101,0.0024783147459727386,0.015870309107238273
16,E9Q4X2,,3.8333987373719385,2.0,4.0,0.01834862385321101,0.0024783147459727386,0.015870309107238273
17,Q9R045,TP,3.8222972014789054,2.0,4.0,0.01834862385321101,0.0024783147459727386,0.015870309107238273
18,Q8BRH0,,3.8135524540652845,2.0,5.0,0.022935779816513763,0.0024783147459727386,0.020457465070541025
19,Q8BFR4,,3.80835225690862,2.0,5.0,0.022935779816513763,0.0024783147459727386,0.020457465070541025
20,Q80Z24,,3.776156434340362,2.0,5.0,0.022935779816513763,0.0024783147459727386,0.020457465070541025
21,Q61335,,3.7499504174928453,2.0,5.0,0.022935779816513763,0.0024783147459727386,0.020457465070541025
22,P09055,,3.746013016573248,2.0,5.0,0.022935779816513763,0.0024783147459727386,0.020457465070541025
23,P16675,,3.7180730608066703,2.0,5.0,0.022935779816513763,0.0024783147459727386,0.020457465070541025
24,Q8CFG0,,3.7150871159525987,2.0,5.0,0.022935779816513763,0.0024783147459727386,0.020457465070541025
25,Q60994,TP,3.70437669073329,2.0,5.0,0.022935779816513763,0.0024783147459727386,0.020457465070541025
26,P29416,,3.7040048003636796,2.0,6.0,0.027522935779816515,0.0024783147459727386,0.025044621033843778
27,Q8BMD6,FP,3.6778127280348447,2.0,6.0,0.027522935779816515,0.0024783147459727386,0.025044621033843778
28,Q925U4,,3.655871284649719,3.0,6.0,0.027522935779816515,0.0037174721189591076,0.02380546366085741
29,F6XJP7,,3.6478645633269853,3.0,6.0,0.027522935779816515,0.0037174721189591076,0.02380546366085741
30,P49817,,3.6442584852878857,3.0,6.0,0.027522935779816515,0.0037174721189591076,0.02380546366085741
31,Q8VCF1,,3.595251015430492,3.0,6.0,0.027522935779816515,0.0037174721189591076,0.02380546366085741
32,Q91XL1,,3.5767221825234046,3.0,6.0,0.027522935779816515,0.0037174721189591076,0.02380546366085741
33,P59481,,3.5470704145888177,3.0,6.0,0.027522935779816515,0.0037174721189591076,0.02380546366085741
34,Q3TDQ1,,3.546709833446935,3.0,6.0,0.027522935779816515,0.0037174721189591076,0.02380546366085741
35,Q8BSY0,,3.540435144622661,3.0,6.0,0.027522935779816515,0.0037174721189591076,0.02380546366085741
36,Q62190,,3.5216393734328633,3.0,6.0,0.027522935779816515,0.0037174721189591076,0.02380546366085741
37,O08601,,3.5019498808693426,3.0,6.0,0.027522935779816515,0.0037174721189591076,0.02380546366085741
38,Q9DBS1,FP,3.4979074522390063,3.0,6.0,0.027522935779816515,0.0037174721189591076,0.02380546366085741
39,Q9Z2A9,,3.4961906346743215,4.0,6.0,0.027522935779816515,0.004956629491945477,0.022566306287871037
40,J3KMH5,,3.4893955840747095,4.0,6.0,0.027522935779816515,0.004956629491945477,0.022566306287871037
41,Q8VD31,,3.4826775029637362,4.0,6.0,0.027522935779816515,0.004956629491945477,0.022566306287871037
42,Q8VHI3,,3.4752271242778745,4.0,6.0,0.027522935779816515,0.004956629491945477,0.022566306287871037
43,P15116,,3.4619963982640543,4.0,6.0,0.027522935779816515,0.004956629491945477,0.022566306287871037
44,Q6ZQI3,,3.443804785074286,4.0,6.0,0.027522935779816515,0.004956629491945477,0.022566306287871037
45,Q9DAU1,FP,3.42628282843808,4.0,6.0,0.027522935779816515,0.004956629491945477,0.022566306287871037
46,Q91ZX7,FP,3.425313044833484,5.0,6.0,0.027522935779816515,0.006195786864931847,0.02132714891488467
47,Q9Z2A7,,3.408900627793281,6.0,6.0,0.027522935779816515,0.007434944237918215,0.0200879915418983
