User Input	Mapped Gene Symbol	Num of Expt. (found/total)	Ave SC	Max SC
Q9H4G8	DPH3P1	 / 716	0	
P02654	APOC1	 / 716	0	
P62701	RPS4X	451 / 716	10	60
O95050	INMT	 / 716	0	
Q06413	MEF2C	18 / 716	1.6	4
O75368	SH3BGRL	21 / 716	2.2	6
Q8N9I0	SYT2	 / 716	0	
Q9P2J8	ZNF624	22 / 716	2	5
Q08ET2	SIGLEC14	 / 716	0	
Q12926	ELAVL2	62 / 716	1.3	3
Q9UKQ9	KLK9	 / 716	0	
Q15291	RBBP5	75 / 716	2	8
P08237	PFKM	126 / 716	2	8
Q14008	CKAP5	196 / 716	20.8	116
Q9C0A0	CNTNAP4	2 / 716	1	1
Q9NRG4	SMYD2	2 / 716	1	1
A0A096LP49	CCDC187	 / 716	0	
Q1HG44	DUOXA2	 / 716	0	
Q9UQ07	MOK	1 / 716	1	1
Q5UCC4	EMC10	 / 716	0	
Q8N3S3	PHTF2	 / 716	0	
P09382	LGALS1	84 / 716	10.6	236
Q9H492	MAP1LC3A	3 / 716	1	1
P17735	TAT	 / 716	0	
Q9BUL8	PDCD10	9 / 716	1.1	2
Q01959	SLC6A3	 / 716	0	
A0PJX0	CIB4	 / 716	0	
Q6N063	OGFOD2	 / 716	0	
A6NGQ2	OOEP	 / 716	0	
P15813	CD1D	 / 716	0	
Q96KT7	SLC35G5	 / 716	0	
P78352	DLG4	5 / 716	1.2	2
Q9BYD5	CNFN	 / 716	0	
Q9H469	FBXL15	 / 716	0	
B3EWF7	EPM2A	37 / 716	3.1	10
Q8IW41	MAPKAPK5	1 / 716	1	1
P08133	ANXA6	77 / 716	7.1	35
Q9Y676	MRPS18B	67 / 716	2.9	8
Q92905	COPS5	42 / 716	1.6	7
Q9UBG0	MRC2	1 / 716	1	1
O60783	MRPS14	52 / 716	1.3	3
O14548	COX7A2L	1 / 716	1	1
Q9UBK9	UXT	4 / 716	1	1
P02689	PMP2	 / 716	0	
Q6ZRS4	CCDC129	1 / 716	1	1
Q6PEZ8	PODNL1	 / 716	0	
A6NCJ1	C19ORF71	 / 716	0	
Q8WV07	ORAOV1	 / 716	0	
O95620	DUS4L	 / 716	0	
P35749	MYH11	374 / 716	9.3	129
Q86UX6	STK32C	1 / 716	2	2
Q99502	EYA1	 / 716	0	
Q8WZA9	IRGQ	8 / 716	1.4	4
Q9NRS6	SNX15	 / 716	0	
Q9BYE7	PCGF6	11 / 716	1.8	4
Q8TBP5	FAM174A	 / 716	0	
A6NJI9	LRRC72	 / 716	0	
Q9NZQ9	TMOD4	4 / 716	1.3	2
P11150	LIPC	 / 716	0	
Q5W0Q7	USPL1	 / 716	0	
Q8WVC0	LEO1	57 / 716	2.5	9
Q8WTP8	AEN	3 / 716	1	1
Q9UJW9	SERTAD3	 / 716	0	
P51693	APLP1	1 / 716	1	1
Q13642	FHL1	177 / 716	2.2	13
P23515	OMG	 / 716	0	
P12004	PCNA	268 / 716	6.2	70
Q569G3	C5ORF47	 / 716	0	
Q6SZW1	SARM1	1 / 716	3	3
Q8N688	DEFB123	 / 716	0	
Q8IV45	UNC5CL	 / 716	0	
Q9H400	LIME1	5 / 716	2.2	4
O75326	SEMA7A	 / 716	0	
Q96EE3	SEH1L	76 / 716	1.9	8
Q96JI7	SPG11	1 / 716	1	1
Q6P4F1	FUT10	1 / 716	1	1
Q96JS3	PGBD1	1 / 716	1	1
Q9UL63	MKLN1	1 / 716	1	1
O95476	CTDNEP1	 / 716	0	
P24043	LAMA2	 / 716	0	
A6NKT7	RGPD3	194 / 716	19.3	136
O00213	APBB1	56 / 716	2.3	6
Q12874	SF3A3	229 / 716	4.8	32
O95551	TDP2	5 / 716	1	1
Q9C019	TRIM15	2 / 716	1	1
Q6PI25	CNIH2	 / 716	0	
O75771	RAD51D	1 / 716	9	9
Q9HB20	PLEKHA3	 / 716	0	
Q9C0B9	ZCCHC2	1 / 716	1	1
Q14789	GOLGB1	30 / 716	3.5	18
Q03001	DST	84 / 716	22.4	226
Q96FX7	TRMT61A	16 / 716	2.8	9
A0A075B6L2	TRGV11	 / 716	0	
Q6AZY7	SCARA3	 / 716	0	
Q7Z2D5	PLPPR4	 / 716	0	
Q96PE5	OPALIN	 / 716	0	
Q9H9Y2	RPF1	9 / 716	1.9	5
Q969V3	NCLN	41 / 716	1.8	6
Q969K7	TMEM54	 / 716	0	
P54753	EPHB3	20 / 716	1	1
Q8NEJ9	NGDN	36 / 716	1.6	4
Q9NPJ4	PNRC2	 / 716	0	
Q9NU23	LYRM2	3 / 716	1	1
Q9H857	NT5DC2	113 / 716	2.8	14
Q9H3L0	MMADHC	 / 716	0	
P98164	LRP2	2 / 716	1	1
Q3B8N5	PROX2	 / 716	0	
P22557	ALAS2	 / 716	0	
Q8N8Q1	CYB561D1	 / 716	0	
Q96QU4	FRG2B	 / 716	0	
Q96HV5	TMEM41A	 / 716	0	
Q9UJQ1	LAMP5	 / 716	0	
Q96NZ1	FOXN4	2 / 716	1	1
P10632	CYP2C8	 / 716	0	
Q9UDT6	CLIP2	2 / 716	1	1
Q0VFZ6	CCDC173	 / 716	0	
Q9NXH9	TRMT1	59 / 716	1.5	7
Q99705	MCHR1	 / 716	0	
Q07954	LRP1	32 / 716	30	284
P20963	CD247	1 / 716	1	1
P01877	IGHA2	49 / 716	2.1	8
Q9HAW9	UGT1A8	 / 716	0	
Q96SC8	DMRTA2	 / 716	0	
Q8NHZ7	MBD3L2	 / 716	0	
Q8TB92	HMGCLL1	 / 716	0	
Q9NP56	PDE7B	 / 716	0	
Q86YV5	PRAG1	2 / 716	1	1
Q9UBP6	METTL1	3 / 716	1	1
A8MYB1	TMCO5B	 / 716	0	
Q13474	DRP2	9 / 716	1	1
Q71RC9	SMIM5	 / 716	0	
Q05823	RNASEL	1 / 716	1	1
P55196	AFDN	116 / 716	33.5	128
P22105	TNXB	 / 716	0	
Q9NY72	SCN3B	 / 716	0	
Q14626	IL11RA	 / 716	0	
Q9Y282	ERGIC3	5 / 716	1	1
Q14249	ENDOG	3 / 716	1.3	2
A0A1W2PPF3	DUXB	 / 716	0	
Q13889	GTF2H3	2 / 716	1	1
Q9UBP0	SPAST	 / 716	0	
P01742	IGHV1-69	 / 716	0	
Q8IXM3	MRPL41	67 / 716	1.6	5
P61247	RPS3A	434 / 716	8.6	56
Q8N139	ABCA6	 / 716	0	
Q8N5C1	FAM26E	1 / 716	1	1
P58004	SESN2	3 / 716	1	1
A6NCL1	GMNC	 / 716	0	
P27930	IL1R2	 / 716	0	
Q3LIE5	ADPRM	 / 716	0	
Q8NCN4	RNF169	24 / 716	2.7	10
Q92547	TOPBP1	17 / 716	2.8	9
A0A3B3IU63	Invalid identifier / gene not available			
Q8WVV5	BTN2A2	 / 716	0	
Q8N5S3	C2ORF73	1 / 716	1	1
Q9NWF9	RNF216	 / 716	0	
P50616	TOB1	 / 716	0	
Q9Y2L6	FRMD4B	 / 716	0	
Q9NZ63	C9ORF78	54 / 716	1.5	7
O95803	NDST3	 / 716	0	
Q8N0Z9	VSIG10	 / 716	0	
Q6UX72	B3GNT9	 / 716	0	
Q92560	BAP1	26 / 716	2.8	9
Q14145	KEAP1	92 / 716	8.8	24
P35237	SERPINB6	73 / 716	3.2	10
Q9Y3T6	R3HCC1	1 / 716	1	1
Q96KJ9	COX4I2	 / 716	0	
Q13115	DUSP4	 / 716	0	
P47211	GALR1	 / 716	0	
Q96RD6	PANX2	1 / 716	1	1
Q96S65	CSRNP1	 / 716	0	
Q96AM1	MRGPRF	 / 716	0	
Q86UK5	EVC2	 / 716	0	
Q96G28	CFAP36	25 / 716	1.2	4
Q9P2H3	IFT80	 / 716	0	
P30307	CDC25C	4 / 716	1	1
Q5XKE5	KRT79	470 / 716	6.1	81
O60676	CST8	 / 716	0	
P23416	GLRA2	 / 716	0	
Q86YT5	SLC13A5	1 / 716	1	1
P20936	RASA1	2 / 716	1	1
Q8WTQ4	C16ORF78	 / 716	0	
P04150	NR3C1	89 / 716	2.9	18
Q86TG1	TMEM150A	 / 716	0	
Q8IYU8	MICU2	6 / 716	1	1
Q969D9	TSLP	1 / 716	2	2
Q9C0D6	FHDC1	1 / 716	1	1
O60921	HUS1	 / 716	0	
Q9NQA5	TRPV5	 / 716	0	
Q9NQR4	NIT2	16 / 716	1.2	2
P04198	MYCN	7 / 716	1.9	5
Q15363	TMED2	42 / 716	1.7	10
P18621	RPL17	424 / 716	5.3	35
Q9Y5E7	PCDHB2	 / 716	0	
Q969S3	ZNF622	27 / 716	1.4	4
Q14146	URB2	23 / 716	1.9	8
P62249	RPS16	411 / 716	7.2	42
Q9UPU5	USP24	48 / 716	3.6	11
Q99879	HIST1H2BM	515 / 716	17.3	145
O43909	EXTL3	1 / 716	1	1
Q9Y5X4	NR2E3	 / 716	0	
P02790	HPX	15 / 716	1.6	3
Q8N8R5	C2ORF69	5 / 716	1	1
Q9C091	GREB1L	 / 716	0	
O75884	RBBP9	10 / 716	1.7	3
Q3KPI0	CEACAM21	 / 716	0	
Q6PJQ5	FOXR2	 / 716	0	
Q15413	RYR3	2 / 716	1	1
Q6ZW05	PTCHD4	 / 716	0	
P20823	HNF1A	1 / 716	1	1
Q8IW50	FAM219A	1 / 716	1	1
P07108	DBI	24 / 716	3.2	10
Q9H4I8	SERHL2	 / 716	0	
Q9BT92	TCHP	24 / 716	1.3	2
O00330	PDHX	53 / 716	2.4	6
Q6AI14	SLC9A4	 / 716	0	
Q9Y4D7	PLXND1	 / 716	0	
P23327	HRC	 / 716	0	
P63165	SUMO1	144 / 716	2.3	8
Q9H9T3	ELP3	23 / 716	1.7	4
Q9HCG8	CWC22	47 / 716	2.7	12
Q05513	PRKCZ	 / 716	0	
O15090	ZNF536	37 / 716	1.6	8
P62913	RPL11	495 / 716	4.7	23
Q96JB2	COG3	25 / 716	1.1	2
Q92504	SLC39A7	41 / 716	1.1	2
Q9NSD9	FARSB	139 / 716	4.8	18
Q8N159	NAGS	 / 716	0	
Q9UBF2	COPG2	224 / 716	29	158
Q9BRK3	MXRA8	4 / 716	1.3	2
Q16538	GPR162	 / 716	0	
Q9BRJ9	MESP1	 / 716	0	
Q8NEL9	DDHD1	2 / 716	1	1
Q6ZNB6	NFXL1	9 / 716	1.2	2
Q8IVY1	C1ORF210	 / 716	0	
O95562	SFT2D2	 / 716	0	
P06396	GSN	49 / 716	3.9	34
Q8N9N7	LRRC57	 / 716	0	
P18428	LBP	 / 716	0	
Q13480	GAB1	19 / 716	1.6	3
Q96L92	SNX27	4 / 716	1	1
O60879	DIAPH2	14 / 716	1.1	3
Q9BQ49	SMIM7	 / 716	0	
P0CG40	SP9	1 / 716	1	1
Q7L3T8	PARS2	5 / 716	1.6	2
P17040	ZSCAN20	24 / 716	1.2	2
P0CG29	GSTT2	 / 716	0	
O94856	NFASC	1 / 716	1	1
Q15397	PUM3	26 / 716	4.3	16
P16415	ZNF823	3 / 716	1	1
Q96CH1	GPR146	 / 716	0	
O14656	TOR1A	1 / 716	1	1
Q6P1A2	LPCAT3	1 / 716	2	2
Q14576	ELAVL3	3 / 716	1	1
Q9H3S7	PTPN23	57 / 716	2.4	16
Q86TB3	ALPK2	 / 716	0	
Q8N3Z3	GTPBP8	10 / 716	1.1	2
Q96RT8	TUBGCP5	 / 716	0	
Q6ZN30	BNC2	2 / 716	1	1
Q96JK9	MAML3	 / 716	0	
Q96AH8	RAB7B	 / 716	0	
P28715	ERCC5	34 / 716	2.2	10
Q7Z460	CLASP1	53 / 716	1.8	5
Q9H5Z6	FAM124B	1 / 716	1	1
Q6UUV7	CRTC3	 / 716	0	
Q9NV92	NDFIP2	1 / 716	1	1
Q6ZMB5	TMEM184A	 / 716	0	
Q96C28	ZNF707	1 / 716	1	1
Q09MP3	RAD51AP2	1 / 716	1	1
Q5K4L6	SLC27A3	3 / 716	1.3	2
Q13472	TOP3A	5 / 716	1	1
Q8N8A6	DDX51	18 / 716	1.7	6
A8MTJ3	GNAT3	147 / 716	1.7	11
Q8N122	RPTOR	14 / 716	1.1	2
O95397	PLEKHA8P1	 / 716	0	
Q8WW33	GTSF1	 / 716	0	
P55000	SLURP1	1 / 716	1	1
Q5HYJ1	TECRL	 / 716	0	
Q6PKH6	DHRS4L2	3 / 716	1.3	2
Q13526	PIN1	57 / 716	1.8	5
Q3LI77	KRTAP13-4	 / 716	0	
Q14774	HLX	 / 716	0	
P23471	PTPRZ1	 / 716	0	
O15550	KDM6A	15 / 716	1	1
P51674	GPM6A	 / 716	0	
Q8NI37	PPTC7	 / 716	0	
Q9NUD7	C20ORF96	1 / 716	1	1
Q86X02	CDR2L	3 / 716	1.3	2
Q1XH10	SKIDA1	 / 716	0	
Q96TA0	PCDHB18P	 / 716	0	
Q9BT81	SOX7	14 / 716	1.1	2
A1A4V9	CCDC189	 / 716	0	
P24522	GADD45A	 / 716	0	
Q9UJ90	KCNE5	 / 716	0	
Q7Z4H7	HAUS6	93 / 716	12.8	44
Q01780	EXOSC10	210 / 716	9	87
Q86YT9	JAML	1 / 716	1	1
O14578	CIT	10 / 716	5	17
Q05516	ZBTB16	 / 716	0	
P01615	IGKV2D-28	220 / 716	11.2	372
Q9UBL6	CPNE7	78 / 716	1.3	5
O60404	OR10H3	 / 716	0	
O75586	MED6	4 / 716	1	1
P36269	GGT5	 / 716	0	
Q15485	FCN2	 / 716	0	
P08910	ABHD2	 / 716	0	
O75354	ENTPD6	 / 716	0	
Q7L7L0	HIST3H2A	550 / 716	10.1	209
Q9BZM5	ULBP2	3 / 716	1.7	2
Q9NTX7	RNF146	2 / 716	1	1
A7E2V4	ZSWIM8	7 / 716	1.3	2
Q6UXI7	VIT	2 / 716	1	1
P02655	APOC2	 / 716	0	
Q96L50	LRR1	 / 716	0	
Q9UGH3	SLC23A2	 / 716	0	
A6NFD8	HELT	 / 716	0	
O14678	ABCD4	1 / 716	1	1
Q9UH90	FBXO40	 / 716	0	
Q9Y6F9	WNT6	 / 716	0	
A6NHN0	OTOL1	 / 716	0	
Q8TBZ5	ZNF502	17 / 716	1.1	2
Q8WXC6	COPS9	3 / 716	1.3	2
Q9NSY1	BMP2K	6 / 716	1.7	3
Q9NUI1	DECR2	4 / 716	3	4
Q7Z2F6	ZNF720	 / 716	0	
Q7Z572	SPATA21	 / 716	0	
Q9BR10	SPATA25	 / 716	0	
Q9H9Y4	GPN2	1 / 716	1	1
Q7Z5H4	VN1R5	 / 716	0	
Q9NQG5	RPRD1B	108 / 716	3.2	17
Q15819	UBE2V2	63 / 716	2.7	8
P23434	GCSH	9 / 716	1.3	3
Q9Y5G8	PCDHGA5	 / 716	0	
Q14982	OPCML	 / 716	0	
P38567	SPAM1	 / 716	0	
O43680	TCF21	 / 716	0	
Q02218	OGDH	63 / 716	6.6	39
P78509	RELN	 / 716	0	
Q99643	SDHC	2 / 716	1	1
Q9UQ90	SPG7	 / 716	0	
P01116	KRAS	24 / 716	1.4	7
Q496M5	PLK5	 / 716	0	
Q9UN71	PCDHGB4	 / 716	0	
O95822	MLYCD	3 / 716	1	1
Q9H1P6	C20ORF85	 / 716	0	
Q9UHF1	EGFL7	 / 716	0	
Q9BUM1	G6PC3	3 / 716	1	1
A0A087X1C5	CYP2D7	 / 716	0	
Q01362	MS4A2	 / 716	0	
Q9UBC5	MYO1A	91 / 716	2.6	11
P30533	LRPAP1	31 / 716	2.2	9
Q9H4A5	GOLPH3L	38 / 716	1.1	2
Q86WX3	RPS19BP1	69 / 716	1.7	5
Q96B49	TOMM6	2 / 716	1	1
Q63HM2	PCNX4	 / 716	0	
Q8WY21	SORCS1	1 / 716	1	1
Q8NEE8	TTC16	1 / 716	1	1
Q8IYJ2	C10ORF67	1 / 716	1	1
Q9Y2D8	SSX2IP	7 / 716	1.4	4
Q9NVT9	ARMC1	13 / 716	1.4	3
Q9BQJ4	TMEM47	1 / 716	2	2
Q9BQS7	HEPH	 / 716	0	
P78363	ABCA4	2 / 716	1	1
O14933	UBE2L6	7 / 716	1.1	2
Q8WW38	ZFPM2	 / 716	0	
P52655	GTF2A1	100 / 716	2.2	8
Q16832	DDR2	1 / 716	1	1
Q7L3S4	ZNF771	2 / 716	1	1
Q643R3	LPCAT4	 / 716	0	
Q9Y5Q0	FADS3	 / 716	0	
Q9ULL4	PLXNB3	 / 716	0	
P0DSN7	Invalid identifier / gene not available			
Q04741	EMX1	 / 716	0	
P10244	MYBL2	21 / 716	1.6	6
P55064	AQP5	 / 716	0	
Q8IYE0	CCDC146	 / 716	0	
O75690	KRTAP5-8	 / 716	0	
Q06830	PRDX1	549 / 716	12.2	75
Q96HM7	PCED1B	 / 716	0	
P10620	MGST1	1 / 716	1	1
O60359	CACNG3	 / 716	0	
Q9P2D7	DNAH1	1 / 716	1	1
Q8IYE1	CCDC13	1 / 716	2	2
P23142	FBLN1	3 / 716	1.3	2
O95084	PRSS23	6 / 716	1.8	5
O14958	CASQ2	 / 716	0	
Q53EP0	FNDC3B	 / 716	0	
P48163	ME1	27 / 716	1.7	6
O95139	NDUFB6	 / 716	0	
P48201	ATP5G3	10 / 716	2.5	9
A0A1B0GWG4	LINC00890	 / 716	0	
Q96BM1	ANKRD9	 / 716	0	
Q86V97	KBTBD6	29 / 716	1.4	3
P11712	CYP2C9	 / 716	0	
Q63ZE4	SLC22A10	1 / 716	1	1
P51797	CLCN6	1 / 716	1	1
A2JGV3	Invalid identifier / gene not available			
Q9H2G2	SLK	139 / 716	20	78
Q9Y5J9	TIMM8B	60 / 716	1.7	10
Q14865	ARID5B	17 / 716	3.8	17
Q13308	PTK7	3 / 716	1.3	2
P08123	COL1A2	19 / 716	5.6	21
P07602	PSAP	14 / 716	1.9	4
P10636	MAPT	44 / 716	2.1	5
Q9P2R6	RERE	3 / 716	1	1
Q9BYC2	OXCT2	21 / 716	1.7	4
P20591	MX1	1 / 716	2	2
Q9H3H5	DPAGT1	2 / 716	1	1
P48147	PREP	8 / 716	2.6	9
Q9H6B9	EPHX3	 / 716	0	
Q9NP99	TREM1	 / 716	0	
P07492	GRP	 / 716	0	
Q8NCU4	CCDC191	2 / 716	1	1
Q9NXV6	CDKN2AIP	104 / 716	3.1	19
Q3LI72	KRTAP19-5	 / 716	0	
O15194	CTDSPL	 / 716	0	
P35869	AHR	3 / 716	1	1
Q8WWZ7	ABCA5	1 / 716	1	1
Q9Y5U4	INSIG2	 / 716	0	
P01270	PTH	 / 716	0	
P56748	CLDN8	 / 716	0	
Q9H251	CDH23	3 / 716	1	1
Q5VZ03	NXNL2	 / 716	0	
P59544	TAS2R50	 / 716	0	
Q8NEZ3	WDR19	 / 716	0	
Q8WXE1	ATRIP	1 / 716	2	2
Q9BQL6	FERMT1	12 / 716	1.4	3
P35914	HMGCL	30 / 716	2.3	12
Q7Z3J2	C16ORF62	11 / 716	1	1
Q8NA03	FSIP1	 / 716	0	
P14406	COX7A2	27 / 716	1.7	6
Q66K66	TMEM198	1 / 716	1	1
Q96LB9	PGLYRP3	 / 716	0	
Q96RL6	SIGLEC11	 / 716	0	
P50549	ETV1	 / 716	0	
O14788	TNFSF11	1 / 716	1	1
Q13098	GPS1	67 / 716	1.7	6
Q8IUS5	EPHX4	 / 716	0	
Q8ND25	ZNRF1	 / 716	0	
A6NKC0	FAM90A7P	1 / 716	2	2
P82673	MRPS35	74 / 716	2.6	9
O60243	HS6ST1	 / 716	0	
Q9Y397	ZDHHC9	 / 716	0	
Q13772	NCOA4	3 / 716	1	1
Q8N123	CPXCR1	 / 716	0	
Q86XN7	PROSER1	5 / 716	2	3
P61758	VBP1	166 / 716	2.3	8
