,uniprot,annotation,log2_norm_ratio_iWAT_chow_cre+_1/iWAT_chow_cre-_1,TPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1,FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1,TPR-FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1,log2_norm_ratio_iWAT_chow_cre+_1/iWAT_chow_cre-_2,TPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2,FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2,TPR-FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2,log2_norm_ratio_iWAT_chow_cre+_2/iWAT_chow_cre-_1,TPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1,FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1,TPR-FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1,log2_norm_ratio_iWAT_chow_cre+_2/iWAT_chow_cre-_2,TPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2,FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2,TPR-FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2,log2_norm_ratio_iWAT_chow_cre+_3/iWAT_chow_cre-_1,TPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1,FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1,TPR-FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1,log2_norm_ratio_iWAT_chow_cre+_3/iWAT_chow_cre-_2,TPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2,FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2,TPR-FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2
0,Q91XY2,,inf,0.0,0.0,0.0,inf,0.0,0.0026954177897574125,-0.0026954177897574125,inf,0.004301075268817204,0.0,0.004301075268817204,inf,0.017204301075268817,0.0026954177897574125,0.014508883285511405,inf,0.0,0.0,0.0,inf,0.012903225806451613,0.0026954177897574125,0.0102078080166942
1,Q9QWR8,,inf,0.0,0.0,0.0,inf,0.04086021505376344,0.008086253369272238,0.032773961684491204,inf,0.0064516129032258064,0.0,0.0064516129032258064,inf,0.03870967741935484,0.008086253369272238,0.0306234240500826,inf,0.010752688172043012,0.0,0.010752688172043012,inf,0.03655913978494624,0.008086253369272238,0.028472886415673998
2,A2AJ26,,inf,0.0,0.0,0.0,inf,0.002150537634408602,0.0026954177897574125,-0.0005448801553488104,inf,0.004301075268817204,0.0,0.004301075268817204,inf,0.0,0.0,0.0,inf,0.010752688172043012,0.0,0.010752688172043012,inf,0.025806451612903226,0.0026954177897574125,0.02311103382314581
3,Q8VC60,TP,inf,0.0,0.0,0.0,inf,0.01935483870967742,0.005390835579514825,0.013964003130162595,inf,0.008602150537634409,0.0,0.008602150537634409,inf,0.004301075268817204,0.0,0.004301075268817204,inf,0.008602150537634409,0.0,0.008602150537634409,inf,0.021505376344086023,0.0026954177897574125,0.018809958554328612
4,Q8C8U0,,inf,0.002150537634408602,0.0,0.002150537634408602,,,,,inf,0.008602150537634409,0.0,0.008602150537634409,,,,,inf,0.010752688172043012,0.0,0.010752688172043012,0.9639421418515979,0.26881720430107525,0.1347708894878706,0.13404631481320464
5,Q8BSH2,TP,inf,0.002150537634408602,0.0,0.002150537634408602,inf,0.015053763440860216,0.005390835579514825,0.00966292786134539,inf,0.004301075268817204,0.0,0.004301075268817204,inf,0.0,0.0,0.0,inf,0.0064516129032258064,0.0,0.0064516129032258064,inf,0.010752688172043012,0.0026954177897574125,0.008057270382285599
6,Q7TQ62,TP,inf,0.004301075268817204,0.0,0.004301075268817204,3.6609578536710736,0.053763440860215055,0.008086253369272238,0.045677187490942815,inf,0.002150537634408602,0.0,0.002150537634408602,4.019784972933511,0.043010752688172046,0.008086253369272238,0.03492449931889981,inf,0.004301075268817204,0.0,0.004301075268817204,2.1103591702985267,0.05161290322580645,0.026954177897574125,0.024658725328232326
7,Q8BIX9,TP,inf,0.0064516129032258064,0.0,0.0064516129032258064,2.2551837535892694,0.2817204301075269,0.03504043126684636,0.24667999884068054,inf,0.0,0.0,0.0,1.4241924576052407,0.38064516129032255,0.07816711590296496,0.30247804538735756,inf,0.002150537634408602,0.0,0.002150537634408602,,,,
8,Q9ER39,TP,inf,0.008602150537634409,0.0,0.008602150537634409,2.8190955995315465,0.15483870967741936,0.0215633423180593,0.13327536735936008,inf,0.0064516129032258064,0.0,0.0064516129032258064,2.7952864315167028,0.08817204301075268,0.01078167115902965,0.07739037185172304,inf,0.0,0.0,0.0,1.6146679219510216,0.1053763440860215,0.04582210242587601,0.059554241660145495
9,Q9CXE7,TP,4.935256913264385,0.010752688172043012,0.0,0.010752688172043012,5.134284367850313,0.04086021505376344,0.008086253369272238,0.032773961684491204,4.686315033048854,0.010752688172043012,0.0,0.010752688172043012,4.8437029635011095,0.04086021505376344,0.008086253369272238,0.032773961684491204,1.5673976677632866,0.11827956989247312,0.05390835579514825,0.06437121409732488,1.7518322461704185,0.07956989247311828,0.03504043126684636,0.04452946120627192
