,uniprot,annotation,log2_norm_ratio_iWAT_HF_cre+_1/iWAT_HF_cre-_1,TPR_iWAT_HF_cre+_1/iWAT_HF_cre-_1,FPR_iWAT_HF_cre+_1/iWAT_HF_cre-_1,TPR-FPR_iWAT_HF_cre+_1/iWAT_HF_cre-_1,log2_norm_ratio_iWAT_HF_cre+_1/iWAT_HF_cre-_2,TPR_iWAT_HF_cre+_1/iWAT_HF_cre-_2,FPR_iWAT_HF_cre+_1/iWAT_HF_cre-_2,TPR-FPR_iWAT_HF_cre+_1/iWAT_HF_cre-_2,log2_norm_ratio_iWAT_HF_cre+_2/iWAT_HF_cre-_1,TPR_iWAT_HF_cre+_2/iWAT_HF_cre-_1,FPR_iWAT_HF_cre+_2/iWAT_HF_cre-_1,TPR-FPR_iWAT_HF_cre+_2/iWAT_HF_cre-_1,log2_norm_ratio_iWAT_HF_cre+_2/iWAT_HF_cre-_2,TPR_iWAT_HF_cre+_2/iWAT_HF_cre-_2,FPR_iWAT_HF_cre+_2/iWAT_HF_cre-_2,TPR-FPR_iWAT_HF_cre+_2/iWAT_HF_cre-_2,log2_norm_ratio_iWAT_HF_cre+_3/iWAT_HF_cre-_1,TPR_iWAT_HF_cre+_3/iWAT_HF_cre-_1,FPR_iWAT_HF_cre+_3/iWAT_HF_cre-_1,TPR-FPR_iWAT_HF_cre+_3/iWAT_HF_cre-_1,log2_norm_ratio_iWAT_HF_cre+_3/iWAT_HF_cre-_2,TPR_iWAT_HF_cre+_3/iWAT_HF_cre-_2,FPR_iWAT_HF_cre+_3/iWAT_HF_cre-_2,TPR-FPR_iWAT_HF_cre+_3/iWAT_HF_cre-_2
0,O89001,,inf,0.0,0.0,0.0,,,,,inf,0.0,0.0,0.0,,,,,inf,0.0,0.0,0.0,1.2502858126483885,0.5010224948875256,0.1279373368146214,0.3730851580729042
1,E9Q4X2,,inf,0.0,0.0,0.0,1.9162037919170327,0.3496932515337423,0.0391644908616188,0.31052876067212354,inf,0.0,0.0,0.0,2.8108643514027687,0.19222903885480572,0.018276762402088774,0.17395227645271694,inf,0.0,0.0,0.0,1.5583576601466183,0.45194274028629855,0.07571801566579635,0.3762247246205022
2,Q9Z2G9,FP,4.513081308060212,0.0,0.0,0.0,4.547431463209711,0.02044989775051125,0.005221932114882507,0.015227965635628742,4.65002401480367,0.002044989775051125,0.0,0.002044989775051125,4.650045210857492,0.022494887525562373,0.005221932114882507,0.017272955410679865,4.357356594302032,0.0,0.0,0.0,4.4376409433114,0.022494887525562373,0.005221932114882507,0.017272955410679865
3,Q6ZQI3,TP,4.00039558029595,0.0,0.0026109660574412533,-0.0026109660574412533,4.087132251999898,0.022494887525562373,0.007832898172323759,0.014661989353238614,3.9424668717459617,0.006134969325153374,0.0026109660574412533,0.003524003267712121,3.9948745843542333,0.03067484662576687,0.007832898172323759,0.02284194845344311,3.99049962395667,0.002044989775051125,0.0026109660574412533,-0.0005659762823901284,4.123170489520486,0.024539877300613498,0.007832898172323759,0.016706979128289737
4,Q99LJ6,TP,3.9717540788004206,0.002044989775051125,0.0026109660574412533,-0.0005659762823901284,4.0093445286326554,0.024539877300613498,0.007832898172323759,0.016706979128289737,4.739115707583381,0.0,0.0,0.0,4.742377198319939,0.02044989775051125,0.005221932114882507,0.015227965635628742,4.051431774981946,0.0,0.0026109660574412533,-0.0026109660574412533,4.13495641867405,0.022494887525562373,0.007832898172323759,0.014661989353238614
5,Q3TCN2,,3.8298973316824996,0.00408997955010225,0.0026109660574412533,0.0014790134926609966,4.1351579308934285,0.022494887525562373,0.007832898172323759,0.014661989353238614,4.320890489226801,0.002044989775051125,0.0026109660574412533,-0.0005659762823901284,4.591822129342053,0.022494887525562373,0.007832898172323759,0.014661989353238614,3.7396065096210345,0.0081799591002045,0.0026109660574412533,0.0055689930427632464,4.090801302691832,0.026584867075664622,0.007832898172323759,0.01875196890334086
6,P55302,TP,3.7385028436785124,0.00408997955010225,0.0026109660574412533,0.0014790134926609966,3.617427671691464,0.03680981595092025,0.007832898172323759,0.02897691777859649,4.244081571086043,0.002044989775051125,0.0026109660574412533,-0.0005659762823901284,4.088677440003318,0.026584867075664622,0.007832898172323759,0.01875196890334086,3.291419638457006,0.028629856850715747,0.005221932114882507,0.023407924735833238,3.216278660329827,0.07975460122699386,0.010443864229765013,0.06931073699722885
7,Q9ERE7,TP,3.6586221453853507,0.006134969325153374,0.0026109660574412533,0.003524003267712121,3.770863572255083,0.03067484662576687,0.007832898172323759,0.02284194845344311,3.8082010812263385,0.022494887525562373,0.0026109660574412533,0.01988392146812112,3.8861135490003953,0.0408997955010225,0.007832898172323759,0.03306689732869874,2.806545313734382,0.09611451942740286,0.010443864229765013,0.08567065519763785,2.9647209344639838,0.11247443762781185,0.015665796344647518,0.09680864128316434
8,Q9CQE7,TP,3.632131779232718,0.0081799591002045,0.0026109660574412533,0.0055689930427632464,3.2941059301752276,0.07566462167689161,0.007832898172323759,0.06783172350456786,3.9979789854142718,0.00408997955010225,0.0026109660574412533,0.0014790134926609966,3.6256241772611046,0.06952965235173825,0.007832898172323759,0.06169675417941449,3.4413393299328425,0.012269938650306749,0.0026109660574412533,0.009658972592865495,3.1492476747352205,0.08997955010224949,0.010443864229765013,0.07953568587248448
9,Q91ZW2,TP,3.5817729732724644,0.010224948875255624,0.0026109660574412533,0.007613982817814371,3.425497611104658,0.05521472392638037,0.007832898172323759,0.04738182575405661,3.915877791980148,0.010224948875255624,0.0026109660574412533,0.007613982817814371,3.7252734707166657,0.053169734151329244,0.007832898172323759,0.04533683597900549,3.409311074765602,0.016359918200409,0.0026109660574412533,0.013748952142967747,3.298969906457664,0.065439672801636,0.010443864229765013,0.05499580857187099
